VOTERID,LAST-NAME,FIRST-NAME,MID-INIT,SUFFIX,DATE-OF-BIRTH,BIRTH YEAR,PHONE,ADDR,HOME-NO,HOME-APT,HOME-STREET,HOME-DEV,HOME-CITY,HOME-ZIPCODE,COUNTY,ED,RD,SD,CNLEVY,WILM,CODE-HOME-CITY,SCH-DIST,PARTY,DATE-REG,PP-HIST-1,PP-HIST-2,PR-HIST-1,PR-HIST-2,PR-HIST-3,GEN-HIST-1,GEN-HIST-2,GEN-HIST-3,GEN-HIST-4,GEN-HIST-5,SP-HIST-1,SP-HIST-2,SP-HIST-3,SCHL-HIST-1,SCHL-HIST-2,SCHL-HIST-3,SCHL-HIST-4,SCHL-HIST-5,REF-HIST-1,REF-HIST-2,REF-HIST-3,REF-HIST-4,REF-HIST-5,MAIL-NO,MAIL-APT,MAIL-STR,MAIL-CITY,MAIL-STATE,MAIL-ZIP,DATE-LAST-CHG,CODE-CHANGE,STATUS,GENDER
100610183,SEAWORTH,DAVOS ,B,,19810519,1929,6442533724,178 KING'S LANDING,178,16,KING'S LANDING,,THE CROWNLANDS,63874,E,19,30,5,2,10,,RC,L,19990808,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,19990808,CR,A,M
100256835,SNOW,SHAE,E,,20010616,2004,7937108639,766 LORATH,766,4,LORATH,,THE FREE CITIES,11472,A,21,33,6,3,1,,RC,R,20090828,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,20090828,CR,A,F
100169563,SNOW,MELISANDRE,L,,18910203,1988,2082473518,868 SHADOW LANDS,868,9,SHADOW LANDS,,ASSHAI,20293,A,1,3,1,2,3,,RC,L,19090222,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,19090222,CR,A,F
100414650,SNOW,GILLY,Q,,19920830,1983,5981958999,427 UNKNOWN,427,15,UNKNOWN,,BEYOND THE WALL,45988,E,5,9,2,4,7,,RC,A,20101030,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,20101030,CR,A,F
100982692,BARATHEON,TOMMEN ,P,,20020123,1985,6445941640,129 KING'S LANDING,129,12,KING'S LANDING,,THE CROWNLANDS,63874,E,19,30,5,2,10,,RC,L,20180202,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,20180202,CR,A,M
100372587,TYRELL,LORAS ,K,,20030922,1998,5972565743,285 WESTEROS,285,17,WESTEROS,,THE REACH,33064,E,15,24,4,9,6,,RC,G,20180726,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,20180726,CR,A,M
100054189,SNOW,TORMUND,I,,19520203,2003,5988622432,200 UNKNOWN,200,8,UNKNOWN,,BEYOND THE WALL,45988,E,5,9,2,4,7,,RC,A,19700207,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,19700207,CR,A,M
100446897,WORM,GREY ,I,,19420731,2004,1909117770,298 NAATH,298,10,NAATH,,SOTHORYOS,51225,B,33,51,9,9,2,,RC,R,19600928,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,19600928,CR,A,M
100797378,BOLTON,ROOSE ,C,,19540812,1977,3145813546,503 THE DREADFORT,503,11,THE DREADFORT,,THE NORTH,38511,E,37,57,10,2,6,,RC,D,19720810,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,19720810,CR,A,M
100395386,SNOW,YGRITTE,H,,19850910,1949,5981359727,417 UNKNOWN,417,5,UNKNOWN,,BEYOND THE WALL,45988,E,5,9,2,4,7,,RC,A,20030924,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,20030924,CR,A,F
100643510,SNOW,GENDRY,R,,19880731,2007,6444311143,687 KING'S LANDING,687,9,KING'S LANDING,,THE CROWNLANDS,63874,E,19,30,5,2,10,,RC,I,20060808,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,20060808,CR,A,M
100519578,BOLTON,RAMSAY ,E,,19720910,2004,7355897658,418 VOLANTIS,418,17,VOLANTIS,,THE FREE CITIES,62956,A,47,72,12,7,5,,RC,L,19901008,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,19901008,CR,A,M
100301633,NAHARIS,DAARIO ,X,,19880104,1991,2521544787,417 TYROSH,417,19,TYROSH,,THE FREE CITIES,90580,A,41,63,11,4,10,,RC,D,20060227,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,20060227,CR,A,M
100153359,H'GHAR,JAQEN ,Y,Jr.,17020104,1986,4912744897,467 BRAAVOS,467,9,BRAAVOS,,THE FREE CITIES,36388,A,7,12,2,5,9,,RC,I,17200217,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,17200217,CR,A,M
100306955,BARATHEON,MYRCELLA ,R,,20110127,1978,6445519893,952 KING'S LANDING,952,12,KING'S LANDING,,THE CROWNLANDS,63874,E,19,30,5,2,10,,RC,R,20180420,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,20180420,CR,A,F
100373239,LANNISTER,LANCEL ,L,,19950702,1969,8339552879,567 CASTERLY ROCK,567,8,CASTERLY ROCK,,THE WESTERLAND,85904,E,9,15,3,6,11,,RC,R,20130922,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,20130922,CR,A,M
100432513,MORMONT,JEOR ,J,,19510217,1997,3747591614,987 BEAR ISLAND,987,9,BEAR ISLAND,,THE NORTH,59271,E,3,6,1,3,5,,RC,I,19690307,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,19690307,CR,A,M
100407963,STARK,EDDARD ,W,,19840116,1987,8036996028,364 WINTERFELL,364,17,WINTERFELL,,THE NORTH,62052,C,49,75,13,8,7,,RC,D,20020118,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,20020118,CR,A,M
100129774,BARATHEON,SHIREEN ,O,,20000119,1974,6411449281,798 DRAGONSTONE,798,6,DRAGONSTONE,,BLACKWATER BAY,18438,E,11,18,3,7,2,,RC,L,20180117,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,20180117,CR,A,F
100015481,DROGO,KHAL ,Q,II,19650219,1951,2143919057,183 VAES DOTHRAK,183,10,VAES DOTHRAK,,DOTHRAKI SEA,30074,A,45,69,12,6,3,,RC,D,19830225,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,19830225,CR,A,M
100409597,BARATHEON,RENLY ,I,,19980522,1998,3089233873,233 STORM'S END,233,1,STORM'S END,,THE STORMLANDS,83638,E,31,48,8,8,11,,RC,L,20160715,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,20160715,CR,A,M
100046463,MARTELL,OBERYN ,A,,19780123,1988,9133823806,327 SUNSPEAR,327,1,SUNSPEAR,,DORNE,25316,E,35,54,9,1,4,,RC,G,19960305,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,19960305,CR,A,M
100800297,BARATHEON,ROBERT ,F,,19450227,1988,3089184440,701 STORM'S END,701,8,STORM'S END,,THE STORMLANDS,83638,E,31,48,8,8,11,,RC,L,19630403,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,19630403,CR,A,M
